RegistryName, LocalizedName(if exist), ParentAdvancementLocalizedName
minecraft:recipes/building_blocks/gray_stained_glass, minecraft:recipes/building_blocks/gray_stained_glass, minecraft:recipes/root
minecraft:recipes/redstone/spruce_fence_gate, minecraft:recipes/redstone/spruce_fence_gate, minecraft:recipes/root
minecraft:recipes/building_blocks/yellow_concrete_powder, minecraft:recipes/building_blocks/yellow_concrete_powder, minecraft:recipes/root
minecraft:recipes/misc/pumpkin_seeds, minecraft:recipes/misc/pumpkin_seeds, minecraft:recipes/root
minecraft:recipes/combat/leather_helmet, minecraft:recipes/combat/leather_helmet, minecraft:recipes/root
minecraft:recipes/building_blocks/mossy_stonebrick, minecraft:recipes/building_blocks/mossy_stonebrick, minecraft:recipes/root
minecraft:recipes/building_blocks/magenta_wool, minecraft:recipes/building_blocks/magenta_wool, minecraft:recipes/root
immersiveengineering:main/secret_birthdayparty, immersiveengineering:main/secret_birthdayparty, immersiveengineering:main/craft_revolver
minecraft:recipes/building_blocks/purple_stained_glass, minecraft:recipes/building_blocks/purple_stained_glass, minecraft:recipes/root
minecraft:recipes/misc/melon_seeds, minecraft:recipes/misc/melon_seeds, minecraft:recipes/root
iceandfire:iceandfire/root, iceandfire:iceandfire/root, No Parent
minecraft:recipes/misc/map, minecraft:recipes/misc/map, minecraft:recipes/root
minecraft:recipes/decorations/ladder, minecraft:recipes/decorations/ladder, minecraft:recipes/root
minecraft:recipes/building_blocks/black_stained_hardened_clay, minecraft:recipes/building_blocks/black_stained_hardened_clay, minecraft:recipes/root
minecraft:recipes/combat/golden_sword, minecraft:recipes/combat/golden_sword, minecraft:recipes/root
minecraft:recipes/building_blocks/white_stained_hardened_clay, minecraft:recipes/building_blocks/white_stained_hardened_clay, minecraft:recipes/root
minecraft:story/shiny_gear, minecraft:story/shiny_gear, minecraft:story/mine_diamond
minecraft:recipes/decorations/magenta_stained_glass_pane, minecraft:recipes/decorations/magenta_stained_glass_pane, minecraft:recipes/root
minecraft:end/elytra, minecraft:end/elytra, minecraft:end/find_end_city
mowziesmobs:kill_barakoana, mowziesmobs:kill_barakoana, mowziesmobs:root
minecraft:recipes/building_blocks/red_sandstone, minecraft:recipes/building_blocks/red_sandstone, minecraft:recipes/root
thebetweenlands:fighter/secret_of_the_crypt, thebetweenlands:fighter/secret_of_the_crypt, thebetweenlands:fighter/chopping_boy
minecraft:recipes/building_blocks/purpur_stairs, minecraft:recipes/building_blocks/purpur_stairs, minecraft:recipes/root
minecraft:recipes/tools/shears, minecraft:recipes/tools/shears, minecraft:recipes/root
minecraft:recipes/building_blocks/lime_stained_hardened_clay, minecraft:recipes/building_blocks/lime_stained_hardened_clay, minecraft:recipes/root
thebetweenlands:miner/advanced_darkness, thebetweenlands:miner/advanced_darkness, thebetweenlands:miner/root
minecraft:recipes/redstone/redstone_lamp, minecraft:recipes/redstone/redstone_lamp, minecraft:recipes/root
pyrotech:slaked_lime, pyrotech:slaked_lime, pyrotech:stone_machines
roots:infernal_bulb, roots:infernal_bulb, roots:pyre
thebetweenlands:adventurer/full_of_hot_air, thebetweenlands:adventurer/full_of_hot_air, thebetweenlands:adventurer/captain101
roots:sylvan_armor, roots:sylvan_armor, roots:fey_crafter
minecraft:recipes/decorations/blue_carpet, minecraft:recipes/decorations/blue_carpet, minecraft:recipes/root
minecraft:recipes/redstone/dispenser, minecraft:recipes/redstone/dispenser, minecraft:recipes/root
minecraft:recipes/misc/pink_dye_from_red_bonemeal, minecraft:recipes/misc/pink_dye_from_red_bonemeal, minecraft:recipes/root
iceandfire:iceandfire/jar_pixie, iceandfire:iceandfire/jar_pixie, iceandfire:iceandfire/tame_pixie
pyrotech:living_tar, pyrotech:living_tar, pyrotech:coal_coke_block
minecraft:recipes/building_blocks/emerald_block, minecraft:recipes/building_blocks/emerald_block, minecraft:recipes/root
immersiveengineering:main/upgrade_drill, immersiveengineering:main/upgrade_drill, immersiveengineering:main/craft_drill
thebetweenlands:fighter/staring_contest, thebetweenlands:fighter/staring_contest, thebetweenlands:fighter/glorified_toothpick
minecraft:recipes/transportation/detector_rail, minecraft:recipes/transportation/detector_rail, minecraft:recipes/root
minecraft:recipes/food/cake, minecraft:recipes/food/cake, minecraft:recipes/root
thebetweenlands:adventurer/king_of_the_hill, thebetweenlands:adventurer/king_of_the_hill, thebetweenlands:adventurer/flat_round_and_up_in_the_sky
bewitchment:brazier, bewitchment:brazier, bewitchment:distillery
minecraft:recipes/combat/iron_leggings, minecraft:recipes/combat/iron_leggings, minecraft:recipes/root
immersiveengineering:main/make_steel, immersiveengineering:main/make_steel, immersiveengineering:main/multiblock_blastfurnace
minecraft:recipes/redstone/dark_oak_door, minecraft:recipes/redstone/dark_oak_door, minecraft:recipes/root
minecraft:recipes/building_blocks/sandstone_stairs, minecraft:recipes/building_blocks/sandstone_stairs, minecraft:recipes/root
vampirism:main/vampire_forest, vampirism:main/vampire_forest, vampirism:main/root
minecraft:recipes/building_blocks/nether_wart_block, minecraft:recipes/building_blocks/nether_wart_block, minecraft:recipes/root
minecraft:recipes/brewing/golden_carrot, minecraft:recipes/brewing/golden_carrot, minecraft:recipes/root
minecraft:recipes/decorations/brown_banner, minecraft:recipes/decorations/brown_banner, minecraft:recipes/root
minecraft:recipes/combat/shield, minecraft:recipes/combat/shield, minecraft:recipes/root
abyssalcraft:ethaxium, abyssalcraft:ethaxium, abyssalcraft:dreadium
bewitchment:gaze, bewitchment:gaze, bewitchment:oven
minecraft:recipes/building_blocks/red_sandstone_stairs, minecraft:recipes/building_blocks/red_sandstone_stairs, minecraft:recipes/root
minecraft:recipes/brewing/speckled_melon, minecraft:recipes/brewing/speckled_melon, minecraft:recipes/root
minecraft:recipes/redstone/trapped_chest, minecraft:recipes/redstone/trapped_chest, minecraft:recipes/root
iceandfire:iceandfire/dragon_forge_brick, iceandfire:iceandfire/dragon_forge_brick, iceandfire:iceandfire/kill_if_dragon
minecraft:recipes/decorations/gray_bed, minecraft:recipes/decorations/gray_bed, minecraft:recipes/root
minecraft:recipes/redstone/hopper, minecraft:recipes/redstone/hopper, minecraft:recipes/root
iceandfire:iceandfire/tame_cockatrice, iceandfire:iceandfire/tame_cockatrice, iceandfire:iceandfire/rotten_egg
thebetweenlands:adventurer/root, thebetweenlands:adventurer/root, No Parent
vampirism:main/root, vampirism:main/root, No Parent
minecraft:recipes/building_blocks/coarse_dirt, minecraft:recipes/building_blocks/coarse_dirt, minecraft:recipes/root
minecraft:adventure/summon_iron_golem, minecraft:adventure/summon_iron_golem, minecraft:adventure/trade
minecraft:recipes/redstone/fence_gate, minecraft:recipes/redstone/fence_gate, minecraft:recipes/root
abyssalcraft:shadow_gems, abyssalcraft:shadow_gems, abyssalcraft:mine_coralium
bewitchment:distillery, bewitchment:distillery, bewitchment:crafted_altar
bewitchment:mined_opal, bewitchment:mined_opal, bewitchment:root
minecraft:recipes/building_blocks/light_gray_concrete_powder, minecraft:recipes/building_blocks/light_gray_concrete_powder, minecraft:recipes/root
iceandfire:iceandfire/dragonbone_flaming_sword, iceandfire:iceandfire/dragonbone_flaming_sword, iceandfire:iceandfire/dragonbone_tool
vampirism:vampire/blood_cult, vampirism:vampire/blood_cult, vampirism:vampire/become_vampire
minecraft:recipes/decorations/magenta_carpet, minecraft:recipes/decorations/magenta_carpet, minecraft:recipes/root
bewitchment:consumed_stew, bewitchment:consumed_stew, bewitchment:root
minecraft:husbandry/break_diamond_hoe, minecraft:husbandry/break_diamond_hoe, minecraft:husbandry/plant_seed
minecraft:recipes/misc/lime_dye, minecraft:recipes/misc/lime_dye, minecraft:recipes/root
pyrotech:flint_and_tinder, pyrotech:flint_and_tinder, pyrotech:dried_plant_fibers
thebetweenlands:adventurer/cookie_crumbles, thebetweenlands:adventurer/cookie_crumbles, thebetweenlands:adventurer/tall_tough
minecraft:recipes/combat/leather_leggings, minecraft:recipes/combat/leather_leggings, minecraft:recipes/root
thebetweenlands:fighter/serious_business, thebetweenlands:fighter/serious_business, thebetweenlands:fighter/root
minecraft:recipes/building_blocks/pink_concrete_powder, minecraft:recipes/building_blocks/pink_concrete_powder, minecraft:recipes/root
pyrotech:furnace, pyrotech:furnace, pyrotech:enter_the_nether
roots:dewgonia, roots:dewgonia, roots:pyre
pyrotech:stone_slab, pyrotech:stone_slab, pyrotech:straw_bale
pyrotech:bloomery, pyrotech:bloomery, pyrotech:refractory_brick
minecraft:recipes/misc/emerald, minecraft:recipes/misc/emerald, minecraft:recipes/root
minecraft:recipes/building_blocks/yellow_stained_glass, minecraft:recipes/building_blocks/yellow_stained_glass, minecraft:recipes/root
minecraft:recipes/decorations/acacia_fence, minecraft:recipes/decorations/acacia_fence, minecraft:recipes/root
iceandfire:iceandfire/kill_siren, iceandfire:iceandfire/kill_siren, iceandfire:iceandfire/bestiary
minecraft:recipes/decorations/magenta_bed_from_white_bed, minecraft:recipes/decorations/magenta_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/decorations/iron_bars, minecraft:recipes/decorations/iron_bars, minecraft:recipes/root
bhc:main/red_heart_canister, bhc:main/red_heart_canister, bhc:main/relic_apple
minecraft:recipes/misc/sugar, minecraft:recipes/misc/sugar, minecraft:recipes/root
minecraft:recipes/misc/red_dye_from_rose_bush, minecraft:recipes/misc/red_dye_from_rose_bush, minecraft:recipes/root
minecraft:recipes/building_blocks/brick_stairs, minecraft:recipes/building_blocks/brick_stairs, minecraft:recipes/root
minecraft:recipes/misc/magenta_dye_from_purple_and_pink, minecraft:recipes/misc/magenta_dye_from_purple_and_pink, minecraft:recipes/root
minecraft:recipes/building_blocks/blue_wool, minecraft:recipes/building_blocks/blue_wool, minecraft:recipes/root
minecraft:story/obtain_armor, minecraft:story/obtain_armor, minecraft:story/smelt_iron
bewitchment:wore_alchemist_set, bewitchment:wore_alchemist_set, bewitchment:loom
minecraft:recipes/redstone/comparator, minecraft:recipes/redstone/comparator, minecraft:recipes/root
thebetweenlands:survivalist/hashtag_blessed, thebetweenlands:survivalist/hashtag_blessed, thebetweenlands:survivalist/root
mowziesmobs:steal_ice_crystal, mowziesmobs:steal_ice_crystal, mowziesmobs:kill_frostmaw
iceandfire:iceandfire/pixie_wand, iceandfire:iceandfire/pixie_wand, iceandfire:iceandfire/tame_pixie
minecraft:recipes/misc/yellow_dye_from_sunflower, minecraft:recipes/misc/yellow_dye_from_sunflower, minecraft:recipes/root
iceandfire:iceandfire/dragonsteel_weapon, iceandfire:iceandfire/dragonsteel_weapon, iceandfire:iceandfire/dragonsteel
minecraft:nether/return_to_sender, minecraft:nether/return_to_sender, minecraft:nether/root
thebetweenlands:fighter/fashionable_warrior, thebetweenlands:fighter/fashionable_warrior, thebetweenlands:fighter/serious_business
minecraft:recipes/brewing/cauldron, minecraft:recipes/brewing/cauldron, minecraft:recipes/root
minecraft:recipes/transportation/chest_minecart, minecraft:recipes/transportation/chest_minecart, minecraft:recipes/root
minecraft:recipes/decorations/gray_stained_glass_pane, minecraft:recipes/decorations/gray_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/decorations/armor_stand, minecraft:recipes/decorations/armor_stand, minecraft:recipes/root
minecraft:recipes/combat/diamond_leggings, minecraft:recipes/combat/diamond_leggings, minecraft:recipes/root
minecraft:recipes/building_blocks/sandstone, minecraft:recipes/building_blocks/sandstone, minecraft:recipes/root
minecraft:recipes/building_blocks/red_stained_glass, minecraft:recipes/building_blocks/red_stained_glass, minecraft:recipes/root
minecraft:adventure/sleep_in_bed, minecraft:adventure/sleep_in_bed, minecraft:adventure/root
pyrotech:mechanical_hopper, pyrotech:mechanical_hopper, pyrotech:stone_brick
minecraft:story/lava_bucket, minecraft:story/lava_bucket, minecraft:story/smelt_iron
thebetweenlands:adventurer/none_to_rule_them_all, thebetweenlands:adventurer/none_to_rule_them_all, thebetweenlands:adventurer/dank_world
thebetweenlands:survivalist/a_cure, thebetweenlands:survivalist/a_cure, thebetweenlands:survivalist/root
vampirism:vampire/yuck, vampirism:vampire/yuck, vampirism:vampire/first_blood
bhc:main/root, bhc:main/root, No Parent
pyrotech:charcoal, pyrotech:charcoal, pyrotech:stone_brick
minecraft:recipes/building_blocks/quartz_stairs, minecraft:recipes/building_blocks/quartz_stairs, minecraft:recipes/root
minecraft:recipes/building_blocks/oak_stairs, minecraft:recipes/building_blocks/oak_stairs, minecraft:recipes/root
minecraft:recipes/decorations/red_carpet, minecraft:recipes/decorations/red_carpet, minecraft:recipes/root
thebetweenlands:survivalist/you_are_what_you_eat, thebetweenlands:survivalist/you_are_what_you_eat, thebetweenlands:survivalist/root
minecraft:recipes/redstone/iron_trapdoor, minecraft:recipes/redstone/iron_trapdoor, minecraft:recipes/root
minecraft:end/dragon_breath, minecraft:end/dragon_breath, minecraft:end/kill_dragon
immersiveengineering:main/upgrade_revolver, immersiveengineering:main/upgrade_revolver, immersiveengineering:main/craft_revolver
roots:runestone, roots:runestone, roots:fey_crafter
minecraft:adventure/root, minecraft:adventure/root, No Parent
minecraft:recipes/decorations/black_bed, minecraft:recipes/decorations/black_bed, minecraft:recipes/root
thebetweenlands:survivalist/pyromaniac, thebetweenlands:survivalist/pyromaniac, thebetweenlands:survivalist/root
thebetweenlands:craftsman/efficiency, thebetweenlands:craftsman/efficiency, thebetweenlands:craftsman/all_over_again
minecraft:recipes/decorations/gray_bed_from_white_bed, minecraft:recipes/decorations/gray_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/white_concrete_powder, minecraft:recipes/building_blocks/white_concrete_powder, minecraft:recipes/root
minecraft:recipes/decorations/jungle_fence, minecraft:recipes/decorations/jungle_fence, minecraft:recipes/root
minecraft:end/kill_dragon, minecraft:end/kill_dragon, minecraft:end/root
minecraft:recipes/tools/diamond_pickaxe, minecraft:recipes/tools/diamond_pickaxe, minecraft:recipes/root
minecraft:recipes/building_blocks/red_nether_brick, minecraft:recipes/building_blocks/red_nether_brick, minecraft:recipes/root
minecraft:adventure/kill_all_mobs, minecraft:adventure/kill_all_mobs, minecraft:adventure/kill_a_mob
bewitchment:obtained_box, bewitchment:obtained_box, bewitchment:root
minecraft:recipes/misc/ender_eye, minecraft:recipes/misc/ender_eye, minecraft:recipes/root
iceandfire:iceandfire/tame_pixie, iceandfire:iceandfire/tame_pixie, iceandfire:iceandfire/bestiary
thebetweenlands:adventurer/bouldery_bois, thebetweenlands:adventurer/bouldery_bois, thebetweenlands:adventurer/dank_world
pyrotech:root, pyrotech:root, No Parent
minecraft:recipes/decorations/orange_bed, minecraft:recipes/decorations/orange_bed, minecraft:recipes/root
minecraft:story/enchant_item, minecraft:story/enchant_item, minecraft:story/mine_diamond
minecraft:recipes/decorations/yellow_banner, minecraft:recipes/decorations/yellow_banner, minecraft:recipes/root
pyrotech:iron_ingot, pyrotech:iron_ingot, pyrotech:bloomery
minecraft:recipes/decorations/pink_bed_from_white_bed, minecraft:recipes/decorations/pink_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/lime_stained_glass, minecraft:recipes/building_blocks/lime_stained_glass, minecraft:recipes/root
roots:pereskia, roots:pereskia, roots:pyre
minecraft:recipes/decorations/pink_stained_glass_pane, minecraft:recipes/decorations/pink_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/misc/light_gray_dye_from_azure_bluet, minecraft:recipes/misc/light_gray_dye_from_azure_bluet, minecraft:recipes/root
minecraft:recipes/redstone/dark_oak_fence_gate, minecraft:recipes/redstone/dark_oak_fence_gate, minecraft:recipes/root
minecraft:recipes/decorations/brown_bed, minecraft:recipes/decorations/brown_bed, minecraft:recipes/root
thebetweenlands:adventurer/gambling_addict, thebetweenlands:adventurer/gambling_addict, thebetweenlands:adventurer/ruined_it
abyssalcraft:mine_abyssal_coralium, abyssalcraft:mine_abyssal_coralium, abyssalcraft:shadow_gems
minecraft:nether/all_potions, minecraft:nether/all_potions, minecraft:nether/brew_potion
minecraft:recipes/building_blocks/green_stained_hardened_clay, minecraft:recipes/building_blocks/green_stained_hardened_clay, minecraft:recipes/root
iceandfire:iceandfire/kill_myrmex, iceandfire:iceandfire/kill_myrmex, iceandfire:iceandfire/bestiary
iceandfire:iceandfire/dragon_forge_core, iceandfire:iceandfire/dragon_forge_core, iceandfire:iceandfire/dragon_forge_brick
iceandfire:iceandfire/kill_troll, iceandfire:iceandfire/kill_troll, iceandfire:iceandfire/bestiary
minecraft:recipes/building_blocks/gray_stained_hardened_clay, minecraft:recipes/building_blocks/gray_stained_hardened_clay, minecraft:recipes/root
vampirism:hunter/max_level, vampirism:hunter/max_level, vampirism:hunter/stake
minecraft:recipes/decorations/yellow_bed, minecraft:recipes/decorations/yellow_bed, minecraft:recipes/root
thebetweenlands:survivalist/hardcore_muchies, thebetweenlands:survivalist/hardcore_muchies, thebetweenlands:survivalist/you_are_what_you_eat
pyrotech:dried_plant_fibers, pyrotech:dried_plant_fibers, pyrotech:root
roots:apothecary_pouch, roots:apothecary_pouch, roots:spirit_herb
thebetweenlands:fighter/beating_dead_meat, thebetweenlands:fighter/beating_dead_meat, thebetweenlands:fighter/fearless_fighter
mowziesmobs:kill_barako, mowziesmobs:kill_barako, mowziesmobs:root
thebetweenlands:farmer/mushroom_master, thebetweenlands:farmer/mushroom_master, thebetweenlands:farmer/sporadically_radical
mysticalworld:aubergine, mysticalworld:aubergine, mysticalworld:root
minecraft:story/follow_ender_eye, minecraft:story/follow_ender_eye, minecraft:story/enter_the_nether
minecraft:recipes/building_blocks/light_blue_stained_glass, minecraft:recipes/building_blocks/light_blue_stained_glass, minecraft:recipes/root
minecraft:recipes/building_blocks/brick_block, minecraft:recipes/building_blocks/brick_block, minecraft:recipes/root
minecraft:recipes/building_blocks/orange_concrete_powder, minecraft:recipes/building_blocks/orange_concrete_powder, minecraft:recipes/root
bewitchment:voodoo, bewitchment:voodoo, bewitchment:loom
thebetweenlands:farmer/baby_murderer, thebetweenlands:farmer/baby_murderer, thebetweenlands:farmer/now_kiss
minecraft:recipes/decorations/blue_stained_glass_pane, minecraft:recipes/decorations/blue_stained_glass_pane, minecraft:recipes/root
minecraft:husbandry/tame_an_animal, minecraft:husbandry/tame_an_animal, minecraft:husbandry/root
roots:stalicripe, roots:stalicripe, roots:pyre
mowziesmobs:suns_blessing, mowziesmobs:suns_blessing, mowziesmobs:sneak_village
abyssalcraft:root, abyssalcraft:root, No Parent
roots:moonglow_leaf, roots:moonglow_leaf, roots:pyre
immersiveengineering:main/multiblock_blastfurnace, immersiveengineering:main/multiblock_blastfurnace, immersiveengineering:main/craft_hammer
vampirism:main/ancient_knowledge, vampirism:main/ancient_knowledge, vampirism:main/vampire_forest
minecraft:recipes/misc/cyan_dye, minecraft:recipes/misc/cyan_dye, minecraft:recipes/root
minecraft:recipes/brewing/blaze_powder, minecraft:recipes/brewing/blaze_powder, minecraft:recipes/root
minecraft:end/root, minecraft:end/root, No Parent
pyrotech:bellows, pyrotech:bellows, pyrotech:mechanical_hopper
minecraft:recipes/decorations/purple_bed, minecraft:recipes/decorations/purple_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/black_wool, minecraft:recipes/building_blocks/black_wool, minecraft:recipes/root
bewitchment:oven, bewitchment:oven, bewitchment:crafted_altar
thebetweenlands:miner/get_schwifty, thebetweenlands:miner/get_schwifty, thebetweenlands:miner/root
minecraft:recipes/combat/golden_chestplate, minecraft:recipes/combat/golden_chestplate, minecraft:recipes/root
iceandfire:iceandfire/kill_deathworm, iceandfire:iceandfire/kill_deathworm, iceandfire:iceandfire/bestiary
minecraft:recipes/building_blocks/yellow_stained_hardened_clay, minecraft:recipes/building_blocks/yellow_stained_hardened_clay, minecraft:recipes/root
thebetweenlands:fighter/glorified_toothpick, thebetweenlands:fighter/glorified_toothpick, thebetweenlands:fighter/chopping_boy
abyssalcraft:mine_abyssalnite, abyssalcraft:mine_abyssalnite, abyssalcraft:root
pyrotech:stone_brick, pyrotech:stone_brick, pyrotech:stone
minecraft:recipes/misc/magenta_dye_from_lapis_red_pink, minecraft:recipes/misc/magenta_dye_from_lapis_red_pink, minecraft:recipes/root
minecraft:recipes/brewing/glass_bottle, minecraft:recipes/brewing/glass_bottle, minecraft:recipes/root
thebetweenlands:survivalist/onions_have_layers, thebetweenlands:survivalist/onions_have_layers, thebetweenlands:survivalist/hardware_laundry
minecraft:recipes/decorations/light_blue_stained_glass_pane, minecraft:recipes/decorations/light_blue_stained_glass_pane, minecraft:recipes/root
minecraft:nether/create_beacon, minecraft:nether/create_beacon, minecraft:nether/summon_wither
minecraft:recipes/misc/light_gray_dye_from_gray_bonemeal, minecraft:recipes/misc/light_gray_dye_from_gray_bonemeal, minecraft:recipes/root
minecraft:recipes/misc/leather, minecraft:recipes/misc/leather, minecraft:recipes/root
pyrotech:enter_the_nether, pyrotech:enter_the_nether, pyrotech:crafting_table
thebetweenlands:adventurer/dank_world, thebetweenlands:adventurer/dank_world, thebetweenlands:adventurer/give_me_that
pyrotech:straw_bale, pyrotech:straw_bale, pyrotech:pit_kiln
minecraft:recipes/decorations/light_gray_bed, minecraft:recipes/decorations/light_gray_bed, minecraft:recipes/root
thebetweenlands:survivalist/say_nay_to_decay, thebetweenlands:survivalist/say_nay_to_decay, thebetweenlands:survivalist/a_cure
minecraft:recipes/misc/red_dye_from_poppy, minecraft:recipes/misc/red_dye_from_poppy, minecraft:recipes/root
roots:wildwood, roots:wildwood, roots:spirit_herb
minecraft:recipes/redstone/wooden_pressure_plate, minecraft:recipes/redstone/wooden_pressure_plate, minecraft:recipes/root
mowziesmobs:root, mowziesmobs:root, No Parent
minecraft:recipes/misc/yellow_dye_from_dandelion, minecraft:recipes/misc/yellow_dye_from_dandelion, minecraft:recipes/root
minecraft:recipes/building_blocks/green_stained_glass, minecraft:recipes/building_blocks/green_stained_glass, minecraft:recipes/root
minecraft:story/deflect_arrow, minecraft:story/deflect_arrow, minecraft:story/obtain_armor
bewitchment:root, bewitchment:root, No Parent
minecraft:recipes/building_blocks/light_blue_wool, minecraft:recipes/building_blocks/light_blue_wool, minecraft:recipes/root
minecraft:recipes/redstone/wooden_button, minecraft:recipes/redstone/wooden_button, minecraft:recipes/root
minecraft:recipes/combat/wooden_sword, minecraft:recipes/combat/wooden_sword, minecraft:recipes/root
pyrotech:worktable, pyrotech:worktable, pyrotech:chopping_block
minecraft:recipes/decorations/gray_banner, minecraft:recipes/decorations/gray_banner, minecraft:recipes/root
minecraft:recipes/decorations/light_gray_banner, minecraft:recipes/decorations/light_gray_banner, minecraft:recipes/root
minecraft:recipes/decorations/light_blue_carpet, minecraft:recipes/decorations/light_blue_carpet, minecraft:recipes/root
minecraft:recipes/building_blocks/gray_concrete_powder, minecraft:recipes/building_blocks/gray_concrete_powder, minecraft:recipes/root
roots:pyre, roots:pyre, roots:terra_moss
minecraft:recipes/transportation/golden_rail, minecraft:recipes/transportation/golden_rail, minecraft:recipes/root
minecraft:recipes/decorations/cyan_banner, minecraft:recipes/decorations/cyan_banner, minecraft:recipes/root
minecraft:recipes/building_blocks/bookshelf, minecraft:recipes/building_blocks/bookshelf, minecraft:recipes/root
thebetweenlands:fighter/sticky_situation, thebetweenlands:fighter/sticky_situation, thebetweenlands:fighter/chopping_boy
minecraft:recipes/tools/golden_axe, minecraft:recipes/tools/golden_axe, minecraft:recipes/root
minecraft:recipes/decorations/fence, minecraft:recipes/decorations/fence, minecraft:recipes/root
minecraft:recipes/tools/iron_axe, minecraft:recipes/tools/iron_axe, minecraft:recipes/root
pyrotech:brick_machines, pyrotech:brick_machines, pyrotech:crafting_table
thebetweenlands:adventurer/tall_tough, thebetweenlands:adventurer/tall_tough, thebetweenlands:adventurer/dank_world
minecraft:recipes/building_blocks/glowstone, minecraft:recipes/building_blocks/glowstone, minecraft:recipes/root
minecraft:recipes/building_blocks/sea_lantern, minecraft:recipes/building_blocks/sea_lantern, minecraft:recipes/root
bewitchment:mined_amethyst, bewitchment:mined_amethyst, bewitchment:root
minecraft:recipes/decorations/black_banner, minecraft:recipes/decorations/black_banner, minecraft:recipes/root
thebetweenlands:survivalist/hardware_laundry, thebetweenlands:survivalist/hardware_laundry, thebetweenlands:survivalist/root
minecraft:recipes/decorations/red_banner, minecraft:recipes/decorations/red_banner, minecraft:recipes/root
minecraft:recipes/decorations/gray_carpet, minecraft:recipes/decorations/gray_carpet, minecraft:recipes/root
minecraft:recipes/redstone/tripwire_hook, minecraft:recipes/redstone/tripwire_hook, minecraft:recipes/root
vampirism:vampire/sniped, vampirism:vampire/sniped, vampirism:vampire/bat
minecraft:recipes/combat/iron_boots, minecraft:recipes/combat/iron_boots, minecraft:recipes/root
minecraft:recipes/building_blocks/chiseled_quartz_block, minecraft:recipes/building_blocks/chiseled_quartz_block, minecraft:recipes/root
minecraft:recipes/building_blocks/blue_stained_hardened_clay, minecraft:recipes/building_blocks/blue_stained_hardened_clay, minecraft:recipes/root
thebetweenlands:adventurer/captain101, thebetweenlands:adventurer/captain101, thebetweenlands:adventurer/dank_world
reskillable:main/attack_5, reskillable:main/attack_5, reskillable:main/root
minecraft:recipes/building_blocks/black_concrete_powder, minecraft:recipes/building_blocks/black_concrete_powder, minecraft:recipes/root
mowziesmobs:kill_grottol_silk_touch, mowziesmobs:kill_grottol_silk_touch, mowziesmobs:kill_grottol
mowziesmobs:kill_ferrous_wroughtnaut, mowziesmobs:kill_ferrous_wroughtnaut, mowziesmobs:root
immersiveengineering:main/place_windmill, immersiveengineering:main/place_windmill, immersiveengineering:main/root
vampirism:hunter/betrayal, vampirism:hunter/betrayal, vampirism:hunter/become_hunter
